ISKREM FLØTEBASERT	3,0	150	17	Rømme, fløte, melkedessert 
ISKREM LETTIS	3,8	190	13	Rømme, fløte, melkedessert 
JALAPEÑO	0,9	27	93	Grønnsaker
JORDBÆR	0,5	15	166	Bær
JORDSKOKK	2,1	63	40	Grønnsaker
KAFFE TILLAGET	0,1	4	620	Drikkevarer
KAKAOPULVER	22,5	900	3	Sukker, søte produkter og godteri
KAKIFRUKT (SHARON)	0,7	21	119	Frukt
KAKTUSFIKEN	0,7	21	119	Frukt
KALVERULL	15,4	770	3	Kjøttpålegg
KARAMELL	1,5	75	33	Sukker, søte produkter og godteri
KARAMELL MED SJOKOLADETREKK	4,2	210	12	Sukker, søte produkter og godteri
KARAMELLPUDDING FERDIG	2,8	140	18	Rømme, fløte, melkedessert 
KARAMELLSAUS	0,0	0	   uten phe	Sukker, søte produkter og godteri
KARBONADEDEIG, RÅ	19,3	965	3	Kjøtt
KARBONADEDEIG, STEKT UTEN FETT	30,6	1530	2	Kjøtt
KASSAVA	1,4	42	60	Grønnsaker
KASTANJER RISTEDE	3,2	160	16	Nøtter
KAVIAR AV TORSKEROGN	10,5	525	5	Fiskevarer
KAVIARMIX	6,8	340	7	Fiskevarer
KEFIR	3,3	165	15	Melk og yoghurt
KESAM 1% FETT	12,0	600	4	Ost
KESAM 8% FETT	6,7	335	8	Ost
KETCHUP	1,8	54	46	Supper/sauser
KIKERTER HERMETISK	7,5	375	7	Bønner, linser og erter
KIKERTER KOKTE*	8,1	405	6	Bønner, linser og erter
KIKERTER TØRRE	21,3	1065	2	Bønner, linser og erter
KIKERTMEL	22,7	1135	2	Kornvarer og frø
KINAKÅL	1,1	33	75	Grønnsaker
KIRSEBÆR	0,7	21	119	Bær
KIWI	1,2	36	69	Frukt
KJEKS KORNMO, RITZ, SELTINER 	8,7	435	6	Kaker og kjeks
KJEKS SØT TYPE BALLERINA	6,1	305	8	Kaker og kjeks
KJEKS SØT VAFFEL FYLT	4,1	205	12	Kaker og kjeks
KJEKS SØT, TYPE TOM OG JERRY	5,8	290	9	Kaker og kjeks
KJØTTBOLLER, KALKUN OG KYLLING	15,0	750	3	Andre kjøttvarer
KJØTTBOLLER, TYPE SVENSKE*	11,0	550	5	Andre kjøttvarer
KJØTTDEIG, MED VANN/SALT RÅ	17,4	870	3	Kjøtt
KJØTTDEIG, STEKT UTEN FETT	26,9	1345	2	Kjøtt
KJØTTKAKER, STEKT	13,3	665	4	Andre kjøttvarer
KJØTTPUDDING STEKT	11,7	585	4	Kjøtt
KLEMENTIN	0,8	24	104	Frukt
KNEKKEBRØD LYST	11,0	550	5	Bakevarer
KNEKKEBRØD MØRKT EKSTRA FIBER	13,0	650	4	Bakevarer
KOKEBANAN, MELBANAN, PLANTAIN RÅ	1,3	39	64	Frukt
KOKESJOKOLADE LYS	7,0	350	7	Sukker, søte produkter og godteri
KOKESJOKOLADE MØRK	6,2	248	10	Sukker, søte produkter og godteri
KOKOSFETT	0,0	0	 uten phe	Matfett
KOKOSMASSE	6,4	320	8	Nøtter
KOKOSMELK	2,0	100	25	Melk og yoghurt
KOKOSVANN	0,0	0	uten phe	Drikkevarer
KONFEKT SJOKOLADE FYLT	5,2	260	19	Sukker, søte produkter og godteri
KORNBLANDING, TYPE 4-KORN	11,0	550	5	Frokostblandinger
KRABBEPINNER, CRABSTICKS, FRYST	12,9	645	4	Fisk og sjømat
KRANSEKAKE	11,2	560	5	Kaker og kjeks
KREMOST URTER/NATURELL	5,7	285	9	Ost
KREMOST, MAGER, TYPE PHILADELPHIA	7,8	390	6	Ost
KREMOST, TYPE PHILADELFIA	6,1	305	8	Ost
KUMQUAT	1,9	57	44	Frukt
KYLLING UTEN SKINN STEKT	27,9	1395	2	Kjøtt
KÅL HODEKÅL/HVITKÅL	1,4	42	59	Grønnsaker
KÅL KNUTEKÅL	1,7	51	49	Grønnsaker
KÅL RØDKÅL	1,1	33	75	Grønnsaker
KÅL SPISSKÅL	2,1	63	40	Grønnsaker
KÅL SURKÅL	1,4	42	60	Grønnsaker
KÅLROT/KÅLRABI	0,9	27	92	Grønnsaker
LAKRIS SØT	4,1	123	20	Sukker, søte produkter og godteri
LAKS, OPPDRETT, RÅ	20,0	1000	3	Fisk og sjømat
LAURBÆRBLAD TØRKET	7,6	228	11	Grønnsaker
LEFSE, KAKELEFSE, PÅSMURT	4,9	245	10	Bakevarer
LEVERPOSTEI HERMETISK	9,5	475	5	Kjøttpålegg
LEVERPOSTEI MED MINDRE FETT	11,6	580	4	Kjøttpålegg
LIME	0,7	21	119	Frukt
LINFRØ HELE	18,3	915	3	Kornvarer og frø
LINFRØ KNUSTE	18,3	915	3	Kornvarer og frø
LINFRØOLJE	0,0	0	uten phe	Matfett
LINSER GRØNNE OG BRUNE KOKTE	9,8	490	5	Bønner, linser og erter
LINSER GRØNNE OG BRUNE TØRRE	25,1	1255	2	Bønner, linser og erter
LINSER RØDE HERMETISK	6,9	345	7	Bønner, linser og erter
LINSER RØDE/ROSA, TØRR	23,9	1195	2	Bønner, linser og erter
LITCHI	0,8	24	104	Frukt
LOMPE, POTETLEFSE	4,5	225	11	Bakevarer
LYS LAPSKAUS, STORFEKJØTT	9,3	465	5	Andre kjøttvarer
LØK RÅ/KOKT	1,1	33	75	Grønnsaker
LØK SJALOTTLØK	1,5	45	56	Grønnsaker
MACADAMIANØTTER	7,9	395	6	Nøtter
MAIS FRYST	3,2	128	20	Grønnsaker
MAIS HERMETISK	2,5	100	25	Grønnsaker
MAIS MINIMAIS*	5,0	200	12	Grønnsaker
MAISMEL	7,8	312	8	Kornvarer og frø
MAISSTIVELSE (Maizena)	0,3	12	208	Kornvarer og frø
MAJONES EKTE	1,2	60	42	Matfett
MAJONES LETT	0,7	35	71	Matfett
MAJONESDRESSING 30-40 % FETT	1,0	50	50	Matfett
MAJONESSALAT EKTE MAJONES	4,2	210	12	Matfett
MAKRELL I TOMAT, 50 %, BEGER	9,7	485	5	Fiskevarer
MAKRELL I TOMAT, 60%, HERMETISK	11,9	595	4	Fiskevarer
MANDELDRIKKE BERIKET	0,0	0	uten phe	Melk og yoghurt
MANDELDRIKKE, TYPE ALPRO	0,5	25	100	Melk og yoghurt
MANDLER	21,2	1060	2	Nøtter
MANGO	0,8	24	104	Frukt
MANGOLD/SØLVBETE	1,8	54	46	Grønnsaker
MARGARIN HARD/LETT/MYK	0,2	10	250	Matfett
MARMELADE APPELSIN	0,2	6	417	Syltetøy
MARSIPAN 30 % MANDLER	6,3	315	8	Sukker, søte produkter og godteri
MARSIPAN 50 % MANDLER	10,5	525	5	Sukker, søte produkter og godteri
MEDISTERDEIG RÅ	16,7	835	3	Kjøtt
MEDISTERKAKER, STEKT	12,6	630	4	Kjøtt
MEDISTERKAKER, TYPE GILDE*	12,0	600	4	Andre kjøttvarer
MELK EKSTRA LETTMELK	3,5	175	14	Melk og yoghurt
MELK HELMELK	3,3	165	15	Melk og yoghurt
MELK LETTMELK	3,4	170	15	Melk og yoghurt
MELK MED SJOKOLADE SMAK, LITAGO	3,4	170	15	Melk og yoghurt
MELK SKUMMET MELK	3,4	170	15	Melk og yoghurt
MELON GALIA	0,5	15	167	Frukt
MELON HONNING	0,5	15	167	Frukt
MELON KANTALOUPE	0,8	24	104	Frukt
MELON VANNMELON	0,8	24	104	Frukt
MINERALVANN TYPE FARRIS	0,0	0	 uten phe	Drikkevarer
MOLTER	1,6	48	52	Bær
MORELLER	0,9	27	92	Bær
MÜSLI MED FRUKT UTEN NØTTER	15,5	775	3	Frokostblandinger
NAPOLEONSKAKE	5,8	290	9	Kaker og kjeks
NEKTARIN	1,1	33	75	Frukt
NEPE	0,9	27	92	Grønnsaker
NORZOLA	17,0	850	3	Ost
NUDLER, AV RIS, KOKT	1,6	48	52	Kornvarer og frø
NUDLER, AV RIS, TØRR	3,4	102	25	Kornvarer og frø
NUDLER, GLASS, TØRR	0,2	10	250	Kornvarer og frø
OKRA, RÅ	1,9	57	44	Grønnsaker
OKSERULL	21,4	1070	2	Kjøttpålegg
OLIVEN GRØNNE	1,0	30	83	Grønnsaker
OLIVEN GRØNNE MED PAPRIKAFYLL	0,6	18	139	Grønnsaker
OLIVEN SORTE	2,2	66	38	Grønnsaker
OLJE MAIS/OLIVEN/SOYA/RAPS	0,2	10	250	Matfett
PAK-CHOI, BOK CHOY, KÅL RÅ	1,5	45	56	Grønnsaker
PANNEKAKER VANLIG	7,8	390	6	Annen mat med mel/gryn
PAPAYA	0,5	15	167	Frukt
PAPAYA TØRKET	3,4	102	25	Frukt
PAPRIKA GRØNN, GUL, RØD	0,8	24	104	Grønnsaker
PARANØTTER	14,3	715	3	Nøtter
PASJONSFRUKT	2,6	78	32	Frukt
PASTA FERSK NATURELL KOKT	5,3	265	9	Kornvarer og frø
PASTA FERSK NATURELL RÅ	10	500	5	Kornvarer og frø
PASTA FULLKORN KOKT	5,6	280	9	Kornvarer og frø
